Timestamp,Node_ID,Latitude,Longitude,Soil_Moisture,Pore_Water_Pressure,Tilt_X,Tilt_Y,Rainfall_24h
2023-06-01 00:00:00,NODE_01,27.29535,88.6231,25.01,14.47,0.0061,0.0021,0.0
2023-06-01 00:00:00,NODE_02,27.35987,88.66507,24.94,14.94,0.0,0.0046,0.0
2023-06-01 00:00:00,NODE_03,27.32649,88.60522,25.15,14.74,0.002,-0.007,0.0
2023-06-01 00:00:00,NODE_04,27.36949,88.5676,24.89,15.16,-0.0121,0.0084,0.0
2023-06-01 00:00:00,NODE_05,27.35503,88.67429,25.15,14.91,0.0268,-0.0093,0.0
2023-06-01 00:00:00,NODE_06,27.3375,88.61639,25.46,14.88,0.003,-0.0099,0.0
2023-06-01 00:00:00,NODE_07,27.35687,88.65051,25.09,15.25,-0.0007,0.0087,0.0
2023-06-01 00:00:00,NODE_08,27.3729,88.65823,25.28,14.79,0.0038,0.0048,0.0
2023-06-01 00:00:00,NODE_09,27.32405,88.62626,24.92,15.24,0.0023,-0.0044,0.0
2023-06-01 00:00:00,NODE_10,27.28763,88.57017,24.98,15.09,-0.016,-0.0111,0.0
2023-06-01 01:00:00,NODE_01,27.29535,88.6231,24.95,15.36,-0.0021,0.0159,0.0
2023-06-01 01:00:00,NODE_02,27.35987,88.66507,24.89,15.15,-0.013,0.0202,0.0
2023-06-01 01:00:00,NODE_03,27.32649,88.60522,25.69,16.11,0.0084,0.0086,0.0
2023-06-01 01:00:00,NODE_04,27.36949,88.5676,24.48,15.84,-0.0013,-0.0013,0.0
2023-06-01 01:00:00,NODE_05,27.35503,88.67429,25.2,16.03,0.031,-0.0119,0.0
2023-06-01 01:00:00,NODE_06,27.3375,88.61639,25.51,15.61,0.0033,0.0193,0.0
2023-06-01 01:00:00,NODE_07,27.35687,88.65051,25.7,15.87,-0.0132,-0.0091,0.0
2023-06-01 01:00:00,NODE_08,27.3729,88.65823,24.93,15.63,0.0007,-0.0041,0.0
2023-06-01 01:00:00,NODE_09,27.32405,88.62626,25.27,15.07,0.0027,-0.0075,0.0
2023-06-01 01:00:00,NODE_10,27.28763,88.57017,24.76,15.72,0.0043,0.0109,0.0
2023-06-01 02:00:00,NODE_01,27.29535,88.6231,25.49,16.36,-0.0185,0.0022,0.0
2023-06-01 02:00:00,NODE_02,27.35987,88.66507,25.19,16.17,0.0163,0.0018,0.0
2023-06-01 02:00:00,NODE_03,27.32649,88.60522,25.31,16.24,-0.0163,-0.0048,0.0
2023-06-01 02:00:00,NODE_04,27.36949,88.5676,24.84,15.98,0.0122,-0.0184,0.0
2023-06-01 02:00:00,NODE_05,27.35503,88.67429,24.86,16.25,-0.0176,-0.0016,0.0
2023-06-01 02:00:00,NODE_06,27.3375,88.61639,25.09,15.58,0.005,0.0111,0.0
2023-06-01 02:00:00,NODE_07,27.35687,88.65051,25.22,16.24,-0.0079,0.0029,0.0
2023-06-01 02:00:00,NODE_08,27.3729,88.65823,24.93,16.04,-0.0069,0.0046,0.0
2023-06-01 02:00:00,NODE_09,27.32405,88.62626,25.27,16.38,0.0016,0.0156,0.0
2023-06-01 02:00:00,NODE_10,27.28763,88.57017,25.96,16.23,0.0045,0.0002,0.0
2023-06-01 03:00:00,NODE_01,27.29535,88.6231,23.93,16.88,-0.0046,0.0138,0.0
2023-06-01 03:00:00,NODE_02,27.35987,88.66507,25.27,16.27,-0.0008,0.0245,0.0
2023-06-01 03:00:00,NODE_03,27.32649,88.60522,25.49,16.89,-0.0013,0.0006,0.0
2023-06-01 03:00:00,NODE_04,27.36949,88.5676,26.03,16.72,-0.0089,0.0072,0.0
2023-06-01 03:00:00,NODE_05,27.35503,88.67429,25.07,17.46,-0.022,0.0216,0.0
2023-06-01 03:00:00,NODE_06,27.3375,88.61639,24.9,16.94,0.0087,-0.0036,0.0
2023-06-01 03:00:00,NODE_07,27.35687,88.65051,25.28,17.17,0.0171,-0.0139,0.0
2023-06-01 03:00:00,NODE_08,27.3729,88.65823,25.59,16.27,0.008,0.0047,0.0
2023-06-01 03:00:00,NODE_09,27.32405,88.62626,24.77,16.94,-0.0042,-0.0191,0.0
2023-06-01 03:00:00,NODE_10,27.28763,88.57017,25.16,17.21,-0.0104,0.0068,0.0
2023-06-01 04:00:00,NODE_01,27.29535,88.6231,25.84,16.86,0.0042,0.0064,5.87
2023-06-01 04:00:00,NODE_02,27.35987,88.66507,25.63,17.5,0.0005,0.0018,5.87
2023-06-01 04:00:00,NODE_03,27.32649,88.60522,25.44,17.28,-0.0138,0.0121,5.87
2023-06-01 04:00:00,NODE_04,27.36949,88.5676,26.0,17.05,0.0097,0.0015,5.87
2023-06-01 04:00:00,NODE_05,27.35503,88.67429,25.78,17.28,-0.0001,-0.0103,5.87
2023-06-01 04:00:00,NODE_06,27.3375,88.61639,25.93,17.44,0.0045,-0.0029,5.87
2023-06-01 04:00:00,NODE_07,27.35687,88.65051,26.32,17.89,0.0153,-0.0113,5.87
2023-06-01 04:00:00,NODE_08,27.3729,88.65823,25.31,16.92,-0.0027,0.0237,5.87
2023-06-01 04:00:00,NODE_09,27.32405,88.62626,25.28,16.95,0.0083,0.0129,5.87
2023-06-01 04:00:00,NODE_10,27.28763,88.57017,25.19,16.97,0.0156,-0.0122,5.87
2023-06-01 05:00:00,NODE_01,27.29535,88.6231,26.98,17.69,-0.0109,0.0163,5.87
2023-06-01 05:00:00,NODE_02,27.35987,88.66507,26.39,18.03,0.0135,0.0002,5.87
2023-06-01 05:00:00,NODE_03,27.32649,88.60522,26.15,18.0,0.0028,-0.0035,5.87
2023-06-01 05:00:00,NODE_04,27.36949,88.5676,26.25,17.55,0.0073,0.0042,5.87
2023-06-01 05:00:00,NODE_05,27.35503,88.67429,25.39,18.0,0.005,-0.0016,5.87
2023-06-01 05:00:00,NODE_06,27.3375,88.61639,26.27,17.67,0.0028,0.0021,5.87
2023-06-01 05:00:00,NODE_07,27.35687,88.65051,26.24,18.25,0.006,-0.0118,5.87
2023-06-01 05:00:00,NODE_08,27.3729,88.65823,25.61,18.24,-0.0153,-0.0034,5.87
2023-06-01 05:00:00,NODE_09,27.32405,88.62626,26.44,17.64,-0.0036,-0.0038,5.87
2023-06-01 05:00:00,NODE_10,27.28763,88.57017,26.31,17.86,-0.0111,0.0017,5.87
2023-06-01 06:00:00,NODE_01,27.29535,88.6231,26.57,18.31,0.0063,-0.0006,5.87
2023-06-01 06:00:00,NODE_02,27.35987,88.66507,26.71,19.07,0.0066,-0.0128,5.87
2023-06-01 06:00:00,NODE_03,27.32649,88.60522,26.93,18.23,0.0164,-0.0069,5.87
2023-06-01 06:00:00,NODE_04,27.36949,88.5676,26.78,18.79,0.0027,0.0194,5.87
2023-06-01 06:00:00,NODE_05,27.35503,88.67429,27.28,19.08,-0.0008,0.0009,5.87
2023-06-01 06:00:00,NODE_06,27.3375,88.61639,26.2,18.54,0.0071,0.006,5.87
2023-06-01 06:00:00,NODE_07,27.35687,88.65051,26.6,18.43,-0.0156,-0.0029,5.87
2023-06-01 06:00:00,NODE_08,27.3729,88.65823,27.24,18.89,-0.002,-0.0014,5.87
2023-06-01 06:00:00,NODE_09,27.32405,88.62626,26.5,18.68,0.008,-0.0007,5.87
2023-06-01 06:00:00,NODE_10,27.28763,88.57017,27.42,18.02,0.0026,0.0057,5.87
2023-06-01 07:00:00,NODE_01,27.29535,88.6231,26.84,18.96,0.0091,0.0239,5.87
2023-06-01 07:00:00,NODE_02,27.35987,88.66507,26.65,19.34,-0.0088,0.0111,5.87
2023-06-01 07:00:00,NODE_03,27.32649,88.60522,26.93,19.14,-0.0047,0.0142,5.87
2023-06-01 07:00:00,NODE_04,27.36949,88.5676,26.98,18.91,-0.0033,-0.0082,5.87
2023-06-01 07:00:00,NODE_05,27.35503,88.67429,27.05,18.63,0.007,-0.0011,5.87
2023-06-01 07:00:00,NODE_06,27.3375,88.61639,27.22,19.08,-0.0243,0.0109,5.87
2023-06-01 07:00:00,NODE_07,27.35687,88.65051,27.7,19.19,0.0031,0.0018,5.87
2023-06-01 07:00:00,NODE_08,27.3729,88.65823,26.74,19.57,0.0019,-0.0065,5.87
2023-06-01 07:00:00,NODE_09,27.32405,88.62626,27.51,19.0,0.0139,-0.0034,5.87
2023-06-01 07:00:00,NODE_10,27.28763,88.57017,26.96,19.31,-0.0042,-0.0204,5.87
2023-06-01 08:00:00,NODE_01,27.29535,88.6231,26.66,19.25,0.0013,-0.0049,5.87
2023-06-01 08:00:00,NODE_02,27.35987,88.66507,27.27,19.56,-0.0065,-0.005,5.87
2023-06-01 08:00:00,NODE_03,27.32649,88.60522,26.56,19.5,0.0013,0.0005,5.87
2023-06-01 08:00:00,NODE_04,27.36949,88.5676,27.01,18.96,-0.0099,-0.0287,5.87
2023-06-01 08:00:00,NODE_05,27.35503,88.67429,27.19,19.19,-0.0027,-0.0046,5.87
2023-06-01 08:00:00,NODE_06,27.3375,88.61639,27.32,20.29,0.0209,-0.0134,5.87
2023-06-01 08:00:00,NODE_07,27.35687,88.65051,27.02,19.99,0.0038,0.0036,5.87
2023-06-01 08:00:00,NODE_08,27.3729,88.65823,26.53,19.75,-0.0082,-0.0103,5.87
2023-06-01 08:00:00,NODE_09,27.32405,88.62626,27.03,20.02,-0.0068,0.0024,5.87
2023-06-01 08:00:00,NODE_10,27.28763,88.57017,27.28,19.89,0.0011,0.0117,5.87
2023-06-01 09:00:00,NODE_01,27.29535,88.6231,26.58,20.07,-0.0306,-0.0077,5.87
